Method,MAP@5,MAP@10,MAP@20,Precision@10,Recall@10,MRR,Weighted_MAP@10,NDCG@10,NDCG@20
TFIDF,0.18100520833333336,0.16811828290343916,0.0910838262132807,0.20958333333333332,0.0646887325815426,0.2874966931216931,0.3169174017268748,0.5033184005658968,0.33588533421591577
BM25,0.3796915509259259,0.3598715002204586,0.24025621431449767,0.3204166666666667,0.19684568722566162,0.49637235449735445,0.45273356809975335,0.6448927372466393,0.43209796252871274
SEMANTIC,0.3539658564814815,0.3353198072824809,0.2115249625920931,0.32229166666666664,0.17264509922683965,0.4701628637566138,0.4821395641977791,0.6913391613861426,0.4629510660006997
HYBRID,0.399662037037037,0.3805069720017637,0.25069871423867396,0.34270833333333334,0.2060714653164118,0.5222660383597885,0.49428007235358773,0.698171746083674,0.46764964124976643
